Category,Customer_ID,Discount,Market,Order_Date,Order_Priority,Product_ID,Product_Name,Profit,Quantity,Region,Segment,Ship_Date,Ship_Mode,Shipping_Cost,Sub_Category,Year,Market2,weeknum,Ship_Delay,Campaign
Office Supplies,AR-105104,0.0,US,2012-08-31,High,OFF-PA-10003441,Xerox 226,27.9936,9,West,Consumer,2012-09-05,Standard Class,7.98,Paper,2012.0,North America,35,5,0.0
Office Supplies,NG-184304,0.0,US,2012-11-22,High,OFF-PA-10000176,Xerox 1887,18.2112,2,West,Consumer,2012-11-25,Second Class,3.9,Paper,2012.0,North America,47,3,0.0
Office Supplies,NG-184304,0.0,US,2012-11-22,High,OFF-PA-10000327,Xerox 1971,19.26,10,West,Consumer,2012-11-25,Second Class,6.15,Paper,2012.0,North America,47,3,0.0
Office Supplies,DP-130004,0.0,US,2012-11-24,Medium,OFF-PA-10000675,Xerox 1919,180.7659,9,West,Consumer,2012-11-28,Standard Class,6.98,Paper,2012.0,North America,47,4,0.0
Office Supplies,TS-213404,0.0,US,2012-11-24,Medium,OFF-PA-10002005,Xerox 225,9.3312,3,West,Consumer,2012-11-29,Standard Class,1.68,Paper,2012.0,North America,47,5,0.0
Office Supplies,KM-167204,0.0,US,2012-11-24,Medium,OFF-PA-10003892,Xerox 1943,68.9631,3,West,Consumer,2012-11-30,Standard Class,4.93,Paper,2012.0,North America,47,6,0.0
Office Supplies,AI-108554,0.0,US,2012-12-20,Medium,OFF-PA-10004947,Staples,7.704,4,West,Consumer,2012-12-25,Second Class,1.31,Paper,2012.0,North America,51,5,0.0
Office Supplies,CL-125654,0.0,US,2012-12-30,Medium,OFF-PA-10000595,Xerox 1929,31.5192,3,West,Consumer,2013-01-03,Standard Class,6.36,Paper,2012.0,North America,53,4,0.0
Office Supplies,SW-202454,0.0,US,2013-03-13,Medium,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),8.991,2,West,Consumer,2013-03-17,Standard Class,1.3,Paper,2013.0,North America,11,4,0.0
Office Supplies,CC-122204,0.0,US,2013-03-29,Critical,OFF-PA-10001243,Xerox 1983,2.9302,1,West,Consumer,2013-04-01,Second Class,1.82,Paper,2013.0,North America,13,3,0.0
Office Supplies,LC-171404,0.0,US,2013-04-09,High,OFF-PA-10002947,Xerox 1923,9.6192,3,West,Consumer,2013-04-13,Standard Class,2.92,Paper,2013.0,North America,15,4,0.0
Office Supplies,LC-171404,0.0,US,2013-04-09,High,OFF-PA-10000019,Xerox 1931,6.2208,2,West,Consumer,2013-04-13,Standard Class,2.28,Paper,2013.0,North America,15,4,0.0
Office Supplies,JF-152954,0.0,US,2013-04-13,Medium,OFF-PA-10000809,Xerox 206,9.3312,3,West,Consumer,2013-04-15,First Class,1.77,Paper,2013.0,North America,15,2,0.0
Office Supplies,JO-152804,0.0,US,2013-04-20,Medium,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10.224,4,West,Consumer,2013-04-25,Second Class,3.87,Paper,2013.0,North America,16,5,0.0
Office Supplies,TB-216254,0.0,US,2013-05-09,High,OFF-PA-10002751,Xerox 1920,8.073,3,West,Consumer,2013-05-11,First Class,3.42,Paper,2013.0,North America,19,2,0.0
Office Supplies,TT-210704,0.0,US,2013-05-12,Medium,OFF-PA-10002751,Xerox 1920,2.691,1,West,Consumer,2013-05-13,First Class,0.41,Paper,2013.0,North America,20,1,0.0
Office Supplies,DO-134354,0.0,US,2013-05-17,Medium,OFF-PA-10004971,Xerox 196,8.4966,3,West,Consumer,2013-05-22,Second Class,1.82,Paper,2013.0,North America,20,5,0.0
Office Supplies,LS-172454,0.0,US,2013-05-28,Medium,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",6.1548,2,West,Consumer,2013-06-03,Standard Class,0.88,Paper,2013.0,North America,22,6,0.0
Office Supplies,CL-125654,0.0,US,2013-05-29,Low,OFF-PA-10003790,Xerox 1991,84.0512,8,West,Consumer,2013-06-04,Standard Class,17.93,Paper,2013.0,North America,22,6,0.0
Office Supplies,OT-187304,0.0,US,2013-06-11,Medium,OFF-PA-10003441,Xerox 226,15.552,5,West,Consumer,2013-06-16,Standard Class,1.91,Paper,2013.0,North America,24,5,0.0
Office Supplies,BD-113204,0.0,US,2013-06-17,Medium,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",21.7845,5,West,Consumer,2013-06-19,Second Class,1.14,Paper,2013.0,North America,25,2,0.0
Office Supplies,MV-181904,0.0,US,2013-06-18,Critical,OFF-PA-10001497,Xerox 1914,107.7216,4,West,Consumer,2013-06-20,First Class,74.66,Paper,2013.0,North America,25,2,0.0
Office Supplies,GT-147554,0.0,US,2013-07-04,High,OFF-PA-10000552,Xerox 200,6.2208,2,West,Consumer,2013-07-07,First Class,1.62,Paper,2013.0,North America,27,3,0.0
Office Supplies,CC-123704,0.0,US,2013-07-08,Critical,OFF-PA-10002923,Xerox 1942,24.47,1,West,Consumer,2013-07-10,Second Class,10.36,Paper,2013.0,North America,28,2,0.0
Office Supplies,JM-155804,0.0,US,2013-08-15,High,OFF-PA-10000551,Array Memo Cubes,7.6146,3,West,Consumer,2013-08-19,Standard Class,2.15,Paper,2013.0,North America,33,4,0.0
Office Supplies,BD-113204,0.0,US,2013-08-16,Low,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,West,Consumer,2013-08-23,Standard Class,4.05,Paper,2013.0,North America,33,7,0.0
Office Supplies,PS-187604,0.0,US,2013-09-30,High,OFF-PA-10000176,Xerox 1887,9.1056,1,West,Consumer,2013-10-02,Second Class,1.89,Paper,2013.0,North America,40,2,0.0
Office Supplies,CC-124754,0.0,US,2013-10-08,High,OFF-PA-10000143,Astroparche Fine Business Paper,5.0688,2,West,Consumer,2013-10-13,Standard Class,1.61,Paper,2013.0,North America,41,5,0.0
Office Supplies,JE-157454,0.0,US,2013-10-09,Critical,OFF-PA-10000167,Xerox 1925,27.882,2,West,Consumer,2013-10-09,Same Day,3.0,Paper,2013.0,North America,41,0,0.0
Office Supplies,XP-218654,0.0,US,2013-11-04,Medium,OFF-PA-10004359,Multicolor Computer Printout Paper,150.984,3,West,Consumer,2013-11-09,Standard Class,22.15,Paper,2013.0,North America,45,5,0.0
Office Supplies,XP-218654,0.0,US,2013-11-04,Medium,OFF-PA-10001725,Xerox 1892,56.9772,3,West,Consumer,2013-11-09,Standard Class,5.57,Paper,2013.0,North America,45,5,0.0
Office Supplies,XP-218654,0.0,US,2013-11-04,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,Consumer,2013-11-09,Standard Class,1.3,Paper,2013.0,North America,45,5,0.0
Office Supplies,AI-108554,0.0,US,2013-11-11,High,OFF-PA-10002421,Embossed Ink Jet Note Cards,32.5008,3,West,Consumer,2013-11-14,Second Class,10.83,Paper,2013.0,North America,46,3,0.0
Office Supplies,AI-108554,0.0,US,2013-11-11,High,OFF-PA-10001363,Xerox 1933,28.858,5,West,Consumer,2013-11-14,Second Class,8.68,Paper,2013.0,North America,46,3,0.0
Office Supplies,SO-203354,0.0,US,2014-01-15,Medium,OFF-PA-10000483,Xerox 19,69.705,5,West,Consumer,2014-01-20,Standard Class,9.12,Paper,2014.0,North America,3,5,0.0
Office Supplies,CK-125954,0.0,US,2014-02-24,Medium,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",16.848,6,West,Consumer,2014-03-02,Standard Class,3.82,Paper,2014.0,North America,9,6,0.0
Office Supplies,PS-187604,0.0,US,2014-04-18,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",13.5072,3,West,Consumer,2014-04-23,Standard Class,2.84,Paper,2014.0,North America,16,5,0.0
Office Supplies,LL-168404,0.0,US,2014-04-26,Medium,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,West,Consumer,2014-05-03,Standard Class,1.52,Paper,2014.0,North America,17,7,0.0
Office Supplies,DD-135704,0.0,US,2014-05-03,Medium,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,Consumer,2014-05-07,Standard Class,0.93,Paper,2014.0,North America,18,4,0.0
Office Supplies,DD-135704,0.0,US,2014-05-03,Medium,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",15.824,5,West,Consumer,2014-05-07,Standard Class,2.54,Paper,2014.0,North America,18,4,0.0
Office Supplies,DV-134654,0.0,US,2014-06-12,Medium,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60.2553,3,West,Consumer,2014-06-12,Same Day,23.65,Paper,2014.0,North America,24,0,0.0
Office Supplies,CC-126704,0.0,US,2014-06-19,High,OFF-PA-10002036,Xerox 1930,19.0512,6,West,Consumer,2014-06-24,Standard Class,4.89,Paper,2014.0,North America,25,5,0.0
Office Supplies,TT-212204,0.0,US,2014-07-01,Medium,OFF-PA-10000675,Xerox 1919,100.4255,5,West,Consumer,2014-07-06,Standard Class,14.98,Paper,2014.0,North America,27,5,0.0
Office Supplies,TB-215204,0.0,US,2014-07-24,Critical,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),27.9936,9,West,Consumer,2014-07-27,First Class,7.82,Paper,2014.0,North America,30,3,0.0
Office Supplies,KT-164804,0.0,US,2014-08-21,Medium,OFF-PA-10001639,Xerox 203,12.4416,4,West,Consumer,2014-08-28,Standard Class,1.27,Paper,2014.0,North America,34,7,0.0
Office Supplies,LC-170504,0.0,US,2014-09-10,Medium,OFF-PA-10000143,Astroparche Fine Business Paper,22.8096,9,West,Consumer,2014-09-15,Second Class,5.29,Paper,2014.0,North America,37,5,0.0
Office Supplies,JM-158654,0.0,US,2014-09-13,Medium,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",79.8912,3,West,Consumer,2014-09-18,Second Class,11.1,Paper,2014.0,North America,37,5,0.0
Office Supplies,DB-136604,0.0,US,2014-09-24,Medium,OFF-PA-10003641,Xerox 1909,97.0784,8,West,Consumer,2014-09-30,Standard Class,15.64,Paper,2014.0,North America,39,6,0.0
Office Supplies,XP-218654,0.0,US,2014-10-10,Medium,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",16.544,5,West,Consumer,2014-10-12,First Class,7.79,Paper,2014.0,North America,41,2,0.0
Office Supplies,GA-147254,0.0,US,2014-11-12,Medium,OFF-PA-10000520,Xerox 201,9.3312,3,West,Consumer,2014-11-17,Standard Class,1.43,Paper,2014.0,North America,46,5,0.0
Office Supplies,EP-139154,0.0,US,2014-11-13,High,OFF-PA-10001846,Xerox 1899,5.6644,2,West,Consumer,2014-11-16,Second Class,1.71,Paper,2014.0,North America,46,3,0.0
Office Supplies,CC-125504,0.0,US,2014-12-02,Medium,OFF-PA-10004735,Xerox 1905,21.7728,7,West,Consumer,2014-12-06,Standard Class,3.56,Paper,2014.0,North America,49,4,0.0
Office Supplies,EP-139154,0.0,US,2014-12-19,Medium,OFF-PA-10003172,Xerox 1996,6.2208,2,West,Consumer,2014-12-20,First Class,0.94,Paper,2014.0,North America,51,1,0.0
Office Supplies,EP-139154,0.0,US,2014-12-19,Medium,OFF-PA-10000289,Xerox 213,15.552,5,West,Consumer,2014-12-20,First Class,1.09,Paper,2014.0,North America,51,1,0.0
Office Supplies,SR-207404,0.0,US,2011-02-21,High,OFF-PA-10003363,Xerox 204,6.2208,2,West,Home Office,2011-02-25,Standard Class,1.14,Paper,2011.0,North America,9,4,0.0
Office Supplies,AY-105554,0.0,US,2011-04-06,Medium,OFF-PA-10001977,Xerox 194,26.6304,1,West,Corporate,2011-04-12,Standard Class,2.28,Paper,2011.0,North America,15,6,0.0
Office Supplies,AY-105554,0.0,US,2011-04-06,Medium,OFF-PA-10003309,Xerox 211,9.3312,3,West,Corporate,2011-04-12,Standard Class,2.11,Paper,2011.0,North America,15,6,0.0
Office Supplies,AH-100304,0.0,US,2011-05-13,Medium,OFF-PA-10003063,EcoTones Memo Sheets,3.84,2,West,Corporate,2011-05-19,Standard Class,0.15,Paper,2011.0,North America,20,6,0.0
Office Supplies,VF-217154,0.0,US,2011-07-25,High,OFF-PA-10002195,Xerox 1966,3.1752,1,West,Home Office,2011-07-27,Second Class,0.79,Paper,2011.0,North America,31,2,0.0
Office Supplies,JM-152654,0.0,US,2011-08-25,High,OFF-PA-10004983,Xerox 23,12.4416,4,West,Corporate,2011-08-29,Standard Class,3.11,Paper,2011.0,North America,35,4,0.0
Office Supplies,GG-146504,0.0,US,2011-10-31,High,OFF-PA-10000477,Xerox 1952,30.4278,13,West,Corporate,2011-11-04,Standard Class,6.72,Paper,2011.0,North America,45,4,0.0
Office Supplies,PL-189254,0.0,US,2011-11-01,Medium,OFF-PA-10004947,Staples,9.63,5,West,Home Office,2011-11-08,Standard Class,0.92,Paper,2011.0,North America,45,7,0.0
Office Supplies,MA-175604,0.0,US,2011-11-11,High,OFF-PA-10003625,Xerox 1979,55.764,4,West,Home Office,2011-11-13,Second Class,27.69,Paper,2011.0,North America,46,2,0.0
Office Supplies,MC-181304,0.0,US,2012-03-19,Medium,OFF-PA-10001947,Xerox 1974,5.8604,2,West,Corporate,2012-03-26,Standard Class,1.2,Paper,2012.0,North America,12,7,0.0
Office Supplies,AM-103604,0.0,US,2012-03-23,High,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",92.5056,11,West,Corporate,2012-03-25,First Class,27.31,Paper,2012.0,North America,12,2,0.0
Office Supplies,BP-110954,0.0,US,2012-03-23,Medium,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,4,West,Corporate,2012-03-30,Standard Class,2.16,Paper,2012.0,North America,12,7,0.0
Office Supplies,DE-132554,0.0,US,2012-04-18,Medium,OFF-PA-10000483,Xerox 19,27.882,2,West,Home Office,2012-04-20,Second Class,8.38,Paper,2012.0,North America,16,2,0.0
Office Supplies,AJ-107804,0.0,US,2012-05-18,Medium,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5.3214,2,West,Corporate,2012-05-22,Standard Class,1.0,Paper,2012.0,North America,20,4,0.0
Office Supplies,CG-120404,0.0,US,2012-06-01,Medium,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,Home Office,2012-06-08,Standard Class,0.82,Paper,2012.0,North America,22,7,0.0
Office Supplies,MO-178004,0.0,US,2012-09-17,Critical,OFF-PA-10004100,Xerox 216,15.552,5,West,Home Office,2012-09-19,Second Class,7.02,Paper,2012.0,North America,38,2,0.0
Office Supplies,RW-195404,0.0,US,2012-09-19,High,OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,11.2504,2,West,Corporate,2012-09-22,Second Class,3.62,Paper,2012.0,North America,38,3,0.0
Office Supplies,YC-218954,0.0,US,2012-11-12,High,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,West,Corporate,2012-11-14,First Class,3.41,Paper,2012.0,North America,46,2,0.0
Office Supplies,SN-207104,0.0,US,2012-11-27,Medium,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",53.4954,3,West,Home Office,2012-12-01,Standard Class,9.19,Paper,2012.0,North America,48,4,0.0
Office Supplies,DB-129703,0.0,US,2012-12-14,High,OFF-PA-10004983,Xerox 23,3.1104,1,West,Corporate,2012-12-16,Second Class,1.31,Paper,2012.0,North America,50,2,0.0
Office Supplies,SM-203204,0.0,US,2012-12-25,Medium,OFF-PA-10001526,Xerox 1949,4.8804,2,West,Home Office,2012-12-29,Standard Class,0.22,Paper,2012.0,North America,52,4,0.0
Office Supplies,SC-200504,0.0,US,2013-01-31,Medium,OFF-PA-10002764,Staples,27.783,5,West,Home Office,2013-02-04,Standard Class,4.73,Paper,2013.0,North America,5,4,0.0
Office Supplies,SM-209504,0.0,US,2013-02-01,Medium,OFF-PA-10002254,Xerox 1883,48.5392,4,West,Corporate,2013-02-07,Standard Class,8.11,Paper,2013.0,North America,5,6,0.0
Office Supplies,RD-198104,0.0,US,2013-02-13,Medium,OFF-PA-10004092,Tops Green Bar Computer Printout Paper,73.41,3,West,Home Office,2013-02-18,Standard Class,8.08,Paper,2013.0,North America,7,5,0.0
Office Supplies,KF-162854,0.0,US,2013-03-11,High,OFF-PA-10004405,Rediform Voice Mail Log Books,7.152,5,West,Home Office,2013-03-12,First Class,2.67,Paper,2013.0,North America,11,1,0.0
Office Supplies,RS-194204,0.0,US,2013-05-10,Medium,OFF-PA-10001260,"TOPS Money Receipt Book, Consecutively Numbered in Red,",14.418,4,West,Corporate,2013-05-15,Standard Class,1.48,Paper,2013.0,North America,19,5,0.0
Office Supplies,NL-183104,0.0,US,2013-05-31,Medium,OFF-PA-10004782,Xerox 228,18.6624,6,West,Home Office,2013-06-04,Standard Class,2.81,Paper,2013.0,North America,22,4,0.0
Office Supplies,RB-197954,0.0,US,2013-06-07,Medium,OFF-PA-10000210,Xerox Blank Computer Paper,46.953,5,West,Home Office,2013-06-13,Standard Class,4.9,Paper,2013.0,North America,23,6,0.0
Office Supplies,AH-100754,0.0,US,2013-06-27,Critical,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",5.616,2,West,Corporate,2013-06-27,Same Day,2.73,Paper,2013.0,North America,26,0,0.0
Office Supplies,SC-202304,0.0,US,2013-08-22,Low,OFF-PA-10002606,Xerox 1928,21.384,9,West,Corporate,2013-08-29,Standard Class,3.43,Paper,2013.0,North America,34,7,0.0
Office Supplies,SC-202304,0.0,US,2013-08-22,Low,OFF-PA-10003848,Xerox 1997,6.2208,2,West,Corporate,2013-08-29,Standard Class,1.16,Paper,2013.0,North America,34,7,0.0
Office Supplies,JS-156854,0.0,US,2013-09-18,Medium,OFF-PA-10000304,Xerox 1995,3.1104,1,West,Corporate,2013-09-23,Standard Class,0.52,Paper,2013.0,North America,38,5,0.0
Office Supplies,LA-167804,0.0,US,2013-09-25,Medium,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",20.85,5,West,Corporate,2013-09-27,Second Class,5.31,Paper,2013.0,North America,39,2,0.0
Office Supplies,CW-119054,0.0,US,2013-11-05,High,OFF-PA-10000295,Xerox 229,18.6624,6,West,Home Office,2013-11-09,Standard Class,6.66,Paper,2013.0,North America,45,4,0.0
Office Supplies,TH-212354,0.0,US,2013-11-22,Medium,OFF-PA-10004451,Xerox 222,15.552,5,West,Corporate,2013-11-27,Standard Class,1.97,Paper,2013.0,North America,47,5,0.0
Office Supplies,AP-107204,0.0,US,2013-12-07,Medium,OFF-PA-10000743,Xerox 1977,6.4128,2,West,Home Office,2013-12-11,Standard Class,0.8,Paper,2013.0,North America,49,4,0.0
Office Supplies,HG-149654,0.0,US,2013-12-19,High,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",18.6624,6,West,Corporate,2013-12-24,Standard Class,5.02,Paper,2013.0,North America,51,5,0.0
Office Supplies,GK-146204,0.0,US,2013-12-26,Medium,OFF-PA-10002005,Xerox 225,21.7728,7,West,Corporate,2013-12-29,First Class,1.33,Paper,2013.0,North America,52,3,0.0
Office Supplies,BT-115304,0.0,US,2014-02-27,Medium,OFF-PA-10001970,Xerox 1908,109.7208,4,West,Home Office,2014-03-01,Second Class,17.93,Paper,2014.0,North America,9,2,0.0
Office Supplies,BT-115304,0.0,US,2014-02-27,Medium,OFF-PA-10000682,Xerox 1924,11.3288,4,West,Home Office,2014-03-01,Second Class,2.6,Paper,2014.0,North America,9,2,0.0
Office Supplies,NS-186404,0.0,US,2014-04-16,Critical,OFF-PA-10002254,Xerox 1883,36.4044,3,West,Corporate,2014-04-18,Second Class,17.5,Paper,2014.0,North America,16,2,0.0
Office Supplies,SM-209504,0.0,US,2014-05-31,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,West,Corporate,2014-06-05,Standard Class,1.63,Paper,2014.0,North America,22,5,0.0
Office Supplies,SS-201404,0.0,US,2014-06-04,High,OFF-PA-10001593,Xerox 1947,5.382,2,West,Corporate,2014-06-08,Standard Class,1.4,Paper,2014.0,North America,23,4,0.0
Office Supplies,RS-197654,0.0,US,2014-10-16,Critical,OFF-PA-10000675,Xerox 1919,100.4255,5,West,Corporate,2014-10-18,First Class,35.32,Paper,2014.0,North America,42,2,0.0
Office Supplies,AM-103604,0.0,US,2014-12-03,High,OFF-PA-10003724,"Wirebound Message Book, 4 per Page",5.3214,2,West,Corporate,2014-12-04,Same Day,1.77,Paper,2014.0,North America,49,1,0.0
Office Supplies,CS-122504,0.0,US,2014-12-05,High,OFF-PA-10001838,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,Corporate,2014-12-07,First Class,2.14,Paper,2014.0,North America,49,2,0.0
Office Supplies,RB-194654,0.0,US,2014-12-17,High,OFF-PA-10002986,Xerox 1898,6.4128,2,West,Home Office,2014-12-22,Second Class,1.23,Paper,2014.0,North America,51,5,0.0
Office Supplies,FH-142754,0.0,US,2011-04-06,High,OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,18.447,3,West,Corporate,2011-04-10,Second Class,8.74,Art,2011.0,North America,15,4,0.0
Office Supplies,JL-158354,0.0,US,2011-04-18,High,OFF-AR-10000657,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",3.5475,5,West,Consumer,2011-04-23,Standard Class,1.79,Art,2011.0,North America,17,5,0.0
Office Supplies,JL-158354,0.0,US,2011-04-18,High,OFF-AR-10002375,Newell 351,3.8048,4,West,Consumer,2011-04-23,Standard Class,0.6,Art,2011.0,North America,17,5,0.0
Office Supplies,MH-172904,0.0,US,2011-04-26,High,OFF-AR-10003504,Newell 347,6.206,5,West,Home Office,2011-04-30,Standard Class,3.37,Art,2011.0,North America,18,4,0.0
Office Supplies,SN-207104,0.0,US,2011-05-06,Medium,OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,30.2232,6,West,Home Office,2011-05-11,Standard Class,10.88,Art,2011.0,North America,19,5,0.0
Office Supplies,BH-117104,0.0,US,2011-06-09,Medium,OFF-AR-10002833,Newell 322,1.9656,4,West,Consumer,2011-06-14,Standard Class,0.49,Art,2011.0,North America,24,5,0.0
Office Supplies,FM-142154,0.0,US,2011-06-13,High,OFF-AR-10003631,Staples,4.7916,3,West,Corporate,2011-06-17,Standard Class,2.33,Art,2011.0,North America,25,4,0.0
Office Supplies,AR-108254,0.0,US,2011-06-30,Medium,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",10.368,5,West,Corporate,2011-07-03,Second Class,1.53,Art,2011.0,North America,27,3,0.0
Office Supplies,AB-102554,0.0,US,2011-07-22,Medium,OFF-AR-10004757,Crayola Colored Pencils,6.4944,6,West,Home Office,2011-07-28,Standard Class,1.37,Art,2011.0,North America,30,6,0.0
Office Supplies,GG-146504,0.0,US,2011-10-31,High,OFF-AR-10001419,Newell 325,3.717,3,West,Corporate,2011-11-04,Standard Class,1.78,Art,2011.0,North America,45,4,0.0
Office Supplies,TC-215354,0.0,US,2011-11-03,Critical,OFF-AR-10001868,Prang Dustless Chalk Sticks,3.36,4,West,Home Office,2011-11-03,Same Day,1.6,Art,2011.0,North America,45,0,0.0
